State	District	Market	Commodity	Variety	Grade	Arrival_Date	Min_x0020_Price	Max_x0020_Price	Modal_x0020_Price
Chattisgarh	Surguja	Ambikapur	Maize	Local	FAQ	07/08/2025	2230	2230	2230
Goa	South Goa	Curchorem	Arecanut(Betelnut/Supari)	Supari	FAQ	07/08/2025	39000	39000	39000
Gujarat	Ahmedabad	Ahmedabad	Bottle gourd	Other	FAQ	07/08/2025	1000	4000	2500
Gujarat	Ahmedabad	Ahmedabad	Capsicum	Capsicum	FAQ	07/08/2025	3500	4500	4000
Gujarat	Ahmedabad	Ahmedabad	Drumstick	Other	FAQ	07/08/2025	1500	3250	2450
Gujarat	Ahmedabad	Sanad	Paddy(Dhan)(Common)	Other	Non-FAQ	07/08/2025	2134	2476	2305
Gujarat	Ahmedabad	Viramgam	Cummin Seed(Jeera)	Other	FAQ	07/08/2025	16775	17810	17290
Gujarat	Ahmedabad	Viramgam	Sesamum(Sesame,Gingelly,Til)	Other	Non-FAQ	07/08/2025	8000	8800	8400
Gujarat	Amreli	Amreli	Bengal Gram(Gram)(Whole)	Other	FAQ	07/08/2025	5025	6000	5895
Gujarat	Amreli	Amreli	Green Gram (Moong)(Whole)	Hybrid	Non-FAQ	07/08/2025	4550	7505	7125
Gujarat	Amreli	Amreli	Groundnut	Bold	Non-FAQ	07/08/2025	3090	5150	5005
Gujarat	Amreli	Amreli	Sesamum(Sesame,Gingelly,Til)	White	FAQ	07/08/2025	5450	10995	9330
Gujarat	Amreli	Amreli	Soyabean	Soyabeen	FAQ	07/08/2025	3520	4640	4570
Gujarat	Amreli	Damnagar	Green Chilli	Green Chilly	FAQ	07/08/2025	1650	2550	1800
Gujarat	Amreli	Damnagar	Lemon	Lemon	FAQ	07/08/2025	650	1550	1200
Gujarat	Amreli	Rajula	Kabuli Chana(Chickpeas-White)	Kabul	FAQ	07/08/2025	5880	5880	5880
Gujarat	Amreli	Rajula	Soyabean	Soyabeen	FAQ	07/08/2025	4255	4255	4255
Gujarat	Anand	Anand(Veg,Yard,Anand)	Bhindi(Ladies Finger)	Bhindi	FAQ	07/08/2025	2500	3000	2750
Gujarat	Anand	Anand(Veg,Yard,Anand)	Potato	Potato	FAQ	07/08/2025	1250	1500	1375
Gujarat	Anand	Anand(Veg,Yard,Anand)	Tomato	Other	FAQ	07/08/2025	4500	5000	4750
Gujarat	Anand	Khambhat(Grain Market)	Wheat	Other	FAQ	07/08/2025	2350	2700	2500
Gujarat	Anand	Khambhat(Veg Yard Khambhat)	Cabbage	Other	FAQ	07/08/2025	2200	2600	2200
Gujarat	Anand	Khambhat(Veg Yard Khambhat)	Green Chilli	Other	FAQ	07/08/2025	4000	5000	4500
Gujarat	Anand	Khambhat(Veg Yard Khambhat)	Tinda	Other	FAQ	07/08/2025	5000	5500	5200
Gujarat	Banaskanth	Deesa	Bajra(Pearl Millet/Cumbu)	Other	FAQ	07/08/2025	1755	3020	2700
Gujarat	Banaskanth	Dhanera	Mustard	Mustard	FAQ	07/08/2025	6250	6795	6505
Gujarat	Banaskanth	Dhanera	Wheat	Other	FAQ	07/08/2025	2530	2640	2590
Gujarat	Banaskanth	Lakhani	Castor Seed	Other	FAQ	07/08/2025	6475	6550	6512
Gujarat	Banaskanth	Palanpur	Bajra(Pearl Millet/Cumbu)	Deshi	FAQ	07/08/2025	1625	2585	2105
Gujarat	Banaskanth	Palanpur	Wheat	Other	FAQ	07/08/2025	2625	2675	2655
Gujarat	Banaskanth	Thara	Bajra(Pearl Millet/Cumbu)	Other	Non-FAQ	07/08/2025	1525	2590	2057.5
Gujarat	Bharuch	Bharuch	Cauliflower	Other	FAQ	07/08/2025	1500	2200	2000
Gujarat	Bharuch	Bharuch	Green Chilli	Other	FAQ	07/08/2025	2800	4000	3500
Gujarat	Bharuch	Bharuch	Mousambi(Sweet Lime)	Other	Medium	07/08/2025	1500	2000	1700
Gujarat	Bharuch	Bharuch	Onion	Other	Non-FAQ	07/08/2025	1000	1800	1500
Gujarat	Bharuch	Jambusar	Jowar(Sorghum)	Other	FAQ	07/08/2025	2800	3600	3200
Gujarat	Bharuch	Jambusar(Kaavi)	Cotton	Other	FAQ	07/08/2025	5600	6400	6000
Gujarat	Bharuch	Jambusar(Kaavi)	Jowar(Sorghum)	Other	FAQ	07/08/2025	3100	3500	3300
Gujarat	Bhavnagar	Taleja	Sesamum(Sesame,Gingelly,Til)	Black	FAQ	07/08/2025	17600	18800	18200
Gujarat	Botad	Botad	Bengal Gram(Gram)(Whole)	Other	Non-FAQ	07/08/2025	4600	6050	5350
Gujarat	Botad	Botad	Wheat	Other	Non-FAQ	07/08/2025	2000	2755	2400
Gujarat	Botad	Botad(Haddad)	Cotton	Shanker 6 (B) 30mm FIne	Non-FAQ	07/08/2025	6900	8180	7500
Gujarat	Chhota Udaipur	Bodeliu	Groundnut	Other	FAQ	07/08/2025	4870	4911	4905
Gujarat	Chhota Udaipur	Bodeliu	Maize	Deshi Red	FAQ	07/08/2025	2050	2100	2070
Gujarat	Dahod	Dahod	Arhar (Tur/Red Gram)(Whole)	Other	Non-FAQ	07/08/2025	5300	5700	5500
Gujarat	Dahod	Dahod	Bajra(Pearl Millet/Cumbu)	Other	Non-FAQ	07/08/2025	2000	2500	2325
Gujarat	Dahod	Dahod	Green Gram (Moong)(Whole)	Green (Whole)	Non-FAQ	07/08/2025	7000	8000	7500
Gujarat	Dahod	Dahod	Wheat	Wheat	FAQ	07/08/2025	2770	2775	2775
Gujarat	Dahod	Dahod(Veg. Market)	Bhindi(Ladies Finger)	Bhindi	FAQ	07/08/2025	500	1500	1000
Gujarat	Dahod	Dahod(Veg. Market)	Cluster beans	Cluster Beans	FAQ	07/08/2025	2000	7000	6000
Gujarat	Dahod	Dahod(Veg. Market)	Cucumbar(Kheera)	Cucumbar	FAQ	07/08/2025	600	2500	2000
Gujarat	Dahod	Dahod(Veg. Market)	Lemon	Other	FAQ	07/08/2025	1000	3000	2500
Gujarat	Dahod	Dahod(Veg. Market)	Onion	Onion	FAQ	07/08/2025	1000	1500	1250
Gujarat	Dahod	Dahod(Veg. Market)	Raddish	Raddish	FAQ	07/08/2025	1000	1000	1000
Gujarat	Dahod	Devgadhbaria	Paddy(Dhan)(Common)	Common	Non-FAQ	07/08/2025	1550	1575	1560
Gujarat	Dahod	Limkheda	Maize	Other	FAQ	07/08/2025	2350	2400	2375
Gujarat	Dahod	Zalod(Zalod)	Wheat	Other	FAQ	07/08/2025	2500	2550	2525
Gujarat	Devbhumi Dwarka	Bhanvad	Sesamum(Sesame,Gingelly,Til)	White	Non-FAQ	07/08/2025	6500	7000	6700
Gujarat	Gandhinagar	Dehgam	Wheat	Other	FAQ	07/08/2025	2390	2485	2437
Gujarat	Gandhinagar	Dehgam(Rekhiyal)	Paddy(Dhan)(Common)	Other	FAQ	07/08/2025	1890	2150	2020
Gujarat	Gandhinagar	Kalol	Castor Seed	Other	FAQ	07/08/2025	6450	6520	6500
Gujarat	Gandhinagar	Kalol	Jowar(Sorghum)	Other	FAQ	07/08/2025	3750	4755	4250
Gujarat	Gandhinagar	Mansa(Manas Veg Yard)	Gram Raw(Chholia)	Other	FAQ	07/08/2025	2500	4000	3000
Gujarat	Gandhinagar	Mansa(Manas Veg Yard)	Methi(Leaves)	Methi	FAQ	07/08/2025	3000	3000	3000
Gujarat	Gir Somnath	Veraval	Bengal Gram(Gram)(Whole)	Other	FAQ	07/08/2025	5755	6015	5875
Gujarat	Jamnagar	Dhrol	Bajra(Pearl Millet/Cumbu)	Other	FAQ	07/08/2025	1750	2200	1975
Gujarat	Jamnagar	Dhrol	Bengal Gram(Gram)(Whole)	Other	FAQ	07/08/2025	5200	5740	5470
Gujarat	Jamnagar	Dhrol	Cummin Seed(Jeera)	Other	FAQ	07/08/2025	12700	17700	15200
Gujarat	Jamnagar	Dhrol	Green Gram (Moong)(Whole)	Other	FAQ	07/08/2025	5450	7750	6600
Gujarat	Jamnagar	Dhrol	Mustard	Other	FAQ	07/08/2025	5280	6000	5640
Gujarat	Jamnagar	Jam Jodhpur	Castor Seed	Castor seed	FAQ	07/08/2025	6125	6280	6155
Gujarat	Jamnagar	Jam Jodhpur	Corriander seed	Coriander Seed	FAQ	07/08/2025	6255	7305	7155
Gujarat	Jamnagar	Jam Jodhpur	Cotton	Bunny	FAQ	07/08/2025	5105	8105	7805
Gujarat	Jamnagar	Jam Jodhpur	Sesamum(Sesame,Gingelly,Til)	Black	FAQ	07/08/2025	10000	20155	15955
Gujarat	Jamnagar	Jam Jodhpur	Soyabean	Soyabeen	FAQ	07/08/2025	4250	4605	4500
Gujarat	Jamnagar	Jamnagar	Groundnut	Other	FAQ	07/08/2025	3750	4500	4425
Gujarat	Junagarh	Bhesan	Sesamum(Sesame,Gingelly,Til)	Other	FAQ	07/08/2025	5000	9500	8750
Gujarat	Kachchh	Bachau	Cummin Seed(Jeera)	Cummin Seed(Jeera)	FAQ	07/08/2025	17000	17850	17250
Gujarat	Kheda	Kapadvanj	Brinjal	Other	FAQ	07/08/2025	2500	3000	2750
Gujarat	Kheda	Kapadvanj	Tomato	Other	FAQ	07/08/2025	4500	4750	4625
Gujarat	Kheda	Nadiad	Tomato	Other	Non-FAQ	07/08/2025	1700	2000	1850
Gujarat	Kheda	Nadiyad(Chaklasi)	Bottle gourd	Bottle Gourd	FAQ	07/08/2025	1100	1300	1200
Gujarat	Kheda	Nadiyad(Chaklasi)	Potato	Potato	Non-FAQ	07/08/2025	1000	1100	1050
Gujarat	Kheda	Nadiyad(Piplag)	Bitter gourd	Bitter Gourd	FAQ	07/08/2025	1000	1200	1100
Gujarat	Kheda	Nadiyad(Piplag)	Onion	Onion	Non-FAQ	07/08/2025	1350	1550	1500
Gujarat	Kheda	Nadiyad(Piplag)	Sponge gourd	Sponge gourd	FAQ	07/08/2025	1200	1600	1400
Gujarat	Kheda	Nadiyad(Piplag)	Tomato	Tomato	FAQ	07/08/2025	2000	2400	2100
Gujarat	Mehsana	Mehsana	Bajra(Pearl Millet/Cumbu)	Local	Non-FAQ	07/08/2025	1630	2425	2375
Gujarat	Mehsana	Mehsana	Wheat	Local	FAQ	07/08/2025	2630	2745	2660
Gujarat	Mehsana	Mehsana(Mehsana Veg)	Lemon	Lemon	FAQ	07/08/2025	500	2500	1700
Gujarat	Mehsana	Unjha	Ajwan	Ajwan	FAQ	07/08/2025	5275	14450	7500
Gujarat	Morbi	Halvad	Groundnut	Other	FAQ	07/08/2025	2750	5000	4250
Gujarat	Morbi	Halvad	Wheat	Other	FAQ	07/08/2025	2595	2775	2675
Gujarat	Morbi	Morbi	Bengal Gram(Gram)(Whole)	Desi (Whole)	FAQ	07/08/2025	5455	5555	5505
Gujarat	Morbi	Morbi	Bottle gourd	Bottle Gourd	FAQ	07/08/2025	700	1200	950
Gujarat	Morbi	Morbi	Brinjal	Brinjal	FAQ	07/08/2025	500	1500	1000
Gujarat	Morbi	Morbi	Castor Seed	Castor seed	FAQ	07/08/2025	5500	6310	5905
Gujarat	Morbi	Morbi	Cucumbar(Kheera)	Cucumbar	FAQ	07/08/2025	500	1500	1000
Gujarat	Morbi	Vankaner	Cummin Seed(Jeera)	Other	FAQ	07/08/2025	15000	18150	17000
Gujarat	Morbi	Vankaner	Wheat	Other	FAQ	07/08/2025	2455	2750	2650
Gujarat	Narmada	Rajpipla	Banana	Other	Large	07/08/2025	1575	2600	2150
Gujarat	Navsari	Bilimora	Cauliflower	Other	FAQ	07/08/2025	2000	3000	2500
Gujarat	Navsari	Navsari	Brinjal	Arkasheela Mattigulla	FAQ	07/08/2025	1000	1500	1250
Gujarat	Navsari	Navsari	Cabbage	Cabbage	FAQ	07/08/2025	1000	1250	1125
Gujarat	Navsari	Navsari	Capsicum	Capsicum	FAQ	07/08/2025	3500	4000	3750
Gujarat	Navsari	Navsari	Cluster beans	Cluster Beans	FAQ	07/08/2025	4000	5000	4500
Gujarat	Navsari	Navsari	Cowpea(Veg)	Cowpea (Veg)	FAQ	07/08/2025	4500	5000	4750
Gujarat	Navsari	Navsari	Lemon	Lemon	FAQ	07/08/2025	2500	3000	2750
Gujarat	Panchmahals	Morva Hafad	Paddy(Dhan)(Common)	Paddy	FAQ	07/08/2025	1500	2100	1800
Gujarat	Panchmahals	Morva Hafad	Wheat	Other	Non-FAQ	07/08/2025	2400	2500	2450
Gujarat	Patan	Harij	Bajra(Pearl Millet/Cumbu)	Other	FAQ	07/08/2025	1750	2060	1905
Gujarat	Patan	Harij	Cummin Seed(Jeera)	Other	FAQ	07/08/2025	16500	18325	17410
Gujarat	Patan	Radhanpur	Castor Seed	Caster	FAQ	07/08/2025	6350	6510	6475
Gujarat	Patan	Sami	Suva (Dill Seed)	Other	FAQ	07/08/2025	6500	6750	6625
Gujarat	Porbandar	Porbandar	Brinjal	Arkasheela Mattigulla	FAQ	07/08/2025	750	1250	1000
Gujarat	Porbandar	Porbandar	Chikoos(Sapota)	Other	Large	07/08/2025	4000	5000	4500
Gujarat	Porbandar	Porbandar	Green Chilli	Green Chilly	FAQ	07/08/2025	2000	3000	2500
Gujarat	Porbandar	Porbandar	Kulthi(Horse Gram)	Other	FAQ	07/08/2025	5200	5200	5200
Gujarat	Porbandar	Porbandar	Tomato	Deshi	FAQ	07/08/2025	4000	5000	4500
Gujarat	Rajkot	Dhoraji	Arhar (Tur/Red Gram)(Whole)	Medium	Non-FAQ	07/08/2025	5000	6005	5905
Gujarat	Rajkot	Jasdan	Mustard	Mustard	FAQ	07/08/2025	5500	7500	7000
Gujarat	Rajkot	Jetpur(Dist.Rajkot)	Soyabean	Soyabeen	FAQ	07/08/2025	4250	4630	4575
Gujarat	Rajkot	Jetpur(Dist.Rajkot)	Wheat	Other	FAQ	07/08/2025	2525	2840	2700
Gujarat	Rajkot	Rajkot	Castor Seed	Caster	FAQ	07/08/2025	5850	6450	6350
Gujarat	Rajkot	Rajkot	Corriander seed	Coriander Seed	FAQ	07/08/2025	6460	7270	6900
Gujarat	Rajkot	Rajkot	Cotton	Narma BT Cotton	FAQ	07/08/2025	6505	8380	8055
Gujarat	Rajkot	Rajkot	Cummin Seed(Jeera)	Cummin Seed(Jeera)	FAQ	07/08/2025	16500	18015	17150
Gujarat	Rajkot	Rajkot	Methi Seeds	Methiseeds	FAQ	07/08/2025	4150	6350	4800
Gujarat	Rajkot	Rajkot	Wheat	Lokwan	FAQ	07/08/2025	2585	2675	2640
Gujarat	Rajkot	Rajkot(Veg.Sub Yard)	Ginger(Green)	Green Ginger	FAQ	07/08/2025	2000	5000	3500
Gujarat	Rajkot	Upleta	Castor Seed	Castor seed	FAQ	07/08/2025	6000	6350	6250
Gujarat	Rajkot	Upleta	Wheat	Other	FAQ	07/08/2025	2500	2705	2600
Gujarat	Sabarkantha	Bayad(Sadamba)	Wheat	Other	FAQ	07/08/2025	2400	2525	2470
Gujarat	Sabarkantha	Bhiloda	Wheat	Other	FAQ	07/08/2025	2600	2750	2675
Gujarat	Sabarkantha	Himatnagar	Wheat	Sonalika	FAQ	07/08/2025	2650	2830	2750
Gujarat	Sabarkantha	Talod	Castor Seed	Caster	FAQ	07/08/2025	6495	6535	6515
Gujarat	Surat	Bardoli(Katod)	Bhindi(Ladies Finger)	Other	FAQ	07/08/2025	1250	2800	2500
Gujarat	Surat	Mandvi	Paddy(Dhan)(Common)	Other	Non-FAQ	07/08/2025	1500	1600	1550
Gujarat	Surat	Mandvi	Sesamum(Sesame,Gingelly,Til)	White	Non-FAQ	07/08/2025	6000	8750	7375
Gujarat	Surat	Songadh(Badarpada)	Bhindi(Ladies Finger)	Bhindi	FAQ	07/08/2025	2500	3600	3400
Gujarat	Surat	Surat	Banana - Green	Other	FAQ	07/08/2025	1000	2000	1500
Gujarat	Surat	Surat	Beetroot	Other	FAQ	07/08/2025	1500	2300	1900
Gujarat	Surat	Surat	Bitter gourd	Other	FAQ	07/08/2025	2000	4000	3000
Gujarat	Surat	Surat	Cowpea(Veg)	Other	FAQ	07/08/2025	5000	10000	7500
Gujarat	Surat	Surat	Drumstick	Other	FAQ	07/08/2025	2000	4000	3000
Gujarat	Surat	Surat	Indian Beans (Seam)	Other	FAQ	07/08/2025	4000	7000	5500
Gujarat	Surat	Surat	Kartali (Kantola)	Other	FAQ	07/08/2025	7500	10500	9000
Gujarat	Surat	Surat	Ridgeguard(Tori)	Other	FAQ	07/08/2025	2000	5500	3750
Gujarat	Surat	Surat	Turmeric (raw)	Other	FAQ	07/08/2025	5000	17000	11000
Gujarat	Surendranagar	Chotila	Wheat	Local	Non-FAQ	07/08/2025	2250	2650	2450
Gujarat	Surendranagar	Dasada Patadi	Ajwan	Ajwan	FAQ	07/08/2025	6250	8750	8000
Gujarat	Surendranagar	Dasada Patadi	Cummin Seed(Jeera)	Cummin Seed(Jeera)	FAQ	07/08/2025	17250	18000	17800
Gujarat	Surendranagar	Dhragradhra	Sesamum(Sesame,Gingelly,Til)	White	FAQ	07/08/2025	5000	9270	8500
Gujarat	Surendranagar	Vadhvan	Amaranthus	Amaranthus	FAQ	07/08/2025	500	1000	750
Gujarat	Surendranagar	Vadhvan	Carrot	Carrot	FAQ	07/08/2025	2500	3000	2750
Gujarat	Surendranagar	Vadhvan	Peas Wet	Peas Wet	FAQ	07/08/2025	10500	11500	11000
Gujarat	Vadodara(Baroda)	Padra	Bhindi(Ladies Finger)	Other	FAQ	07/08/2025	2250	2750	2500
Gujarat	Vadodara(Baroda)	Padra	Lemon	Other	FAQ	07/08/2025	1500	2500	2000
Gujarat	Vadodara(Baroda)	Padra	Onion	Other	FAQ	07/08/2025	800	2200	1400
Gujarat	Vadodara(Baroda)	Padra	Potato	Other	FAQ	07/08/2025	1000	2000	1500
Gujarat	Vadodara(Baroda)	Padra	Spinach	Other	FAQ	07/08/2025	2000	2500	2250
Gujarat	Valsad	Chikli(Khorgam)	Bitter gourd	Other	FAQ	07/08/2025	2000	2500	2250
Haryana	Ambala	Naraingarh	Apple	Other	Medium	07/08/2025	2000	3000	2800
Haryana	Ambala	Naraingarh	Brinjal	Brinjal	FAQ	07/08/2025	700	2000	1200
Haryana	Ambala	Naraingarh	Coriander(Leaves)	Coriander	FAQ	07/08/2025	3000	5000	4200
Haryana	Ambala	Naraingarh	Garlic	Garlic	FAQ	07/08/2025	6500	6500	6500
Haryana	Ambala	Naraingarh	Ginger(Dry)	Other	FAQ	07/08/2025	3000	5000	4000
Haryana	Ambala	Naraingarh	Lemon	Other	FAQ	07/08/2025	2500	3000	2800
Haryana	Faridabad	Ballabhgarh	Apple	Other	Medium	07/08/2025	5000	7000	6000
Haryana	Faridabad	Ballabhgarh	Capsicum	Capsicum	FAQ	07/08/2025	3000	4500	4000
Haryana	Faridabad	Ballabhgarh	Green Chilli	Other	FAQ	07/08/2025	2700	3500	3000
Haryana	Fatehabad	Fatehabad	Pomegranate	Other	Large	07/08/2025	10000	10000	10000
Haryana	Gurgaon	Gurgaon	Cabbage	Other	FAQ	07/08/2025	1000	1400	1200
Haryana	Gurgaon	Gurgaon	Potato	Other	FAQ	07/08/2025	1000	2000	1500
Haryana	Gurgaon	Gurgaon	Tomato	Other	FAQ	07/08/2025	2000	4000	3000
Haryana	Gurgaon	Sohna	Green Chilli	Green Chilly	FAQ	07/08/2025	3000	4500	4000
Haryana	Hissar	Barwala(Hisar)	Mousambi(Sweet Lime)	Other	Medium	07/08/2025	3900	4000	3950
Haryana	Hissar	Hansi	Bitter gourd	Other	FAQ	07/08/2025	3000	4000	3500
Haryana	Hissar	Hansi	Brinjal	Other	FAQ	07/08/2025	2000	3000	2500
Haryana	Hissar	Hansi	Onion	Other	Non-FAQ	07/08/2025	1500	2000	1800
Haryana	Hissar	Hansi	Pomegranate	Other	Medium	07/08/2025	6000	12000	10000
Haryana	Hissar	Hansi	Potato	Other	Non-FAQ	07/08/2025	1000	3500	1500
Haryana	Hissar	Hansi	Tomato	Other	Non-FAQ	07/08/2025	5000	7000	6000
Haryana	Hissar	Hissar	Mustard	Other	FAQ	07/08/2025	6700	6700	6700
Haryana	Jhajar	Bahadurgarh	Garlic	Other	FAQ	07/08/2025	10000	12000	11000
Haryana	Jhajar	Bahadurgarh	Mousambi(Sweet Lime)	Other	Medium	07/08/2025	2500	3000	2800
Haryana	Jhajar	Bahadurgarh	Peas cod	Other	FAQ	07/08/2025	6000	10000	7000
Haryana	Jind	Safidon	Onion	Other	Non-FAQ	07/08/2025	1500	1500	1500
Haryana	Kaithal	Pundri	Onion	Other	FAQ	07/08/2025	1200	1300	1250
Haryana	Karnal	Indri	Apple	Other	Medium	07/08/2025	8000	10000	8000
Haryana	Karnal	Indri	Potato	Other	FAQ	07/08/2025	1200	1200	1200
Haryana	Karnal	Indri	Tomato	Other	FAQ	07/08/2025	3500	5000	3500
Haryana	Kurukshetra	Iamailabad	Potato	Other	FAQ	07/08/2025	750	950	850
Haryana	Kurukshetra	Shahabad	Carrot	Carrot	FAQ	07/08/2025	2000	2200	2100
Haryana	Kurukshetra	Shahabad	Ginger(Dry)	Vegitable-fresh	FAQ	07/08/2025	4500	5000	4800
Haryana	Kurukshetra	Shahabad	Lemon	Other	FAQ	07/08/2025	2500	4800	3000
Haryana	Kurukshetra	Shahabad	Tomato	Tomato	Non-FAQ	07/08/2025	4000	4500	4200
Haryana	Mahendragarh-Narnaul	Narnaul	Guava	Guava	Medium	07/08/2025	3000	3000	3000
Haryana	Mahendragarh-Narnaul	Narnaul	Lemon	Lemon	FAQ	07/08/2025	3500	4000	4000
Haryana	Mahendragarh-Narnaul	Narnaul	Potato	Potato	Non-FAQ	07/08/2025	1000	1000	1000
Haryana	Mahendragarh-Narnaul	Narnaul	Pumpkin	Pumpkin	FAQ	07/08/2025	1200	1500	1500
Haryana	Mahendragarh-Narnaul	Narnaul	Sponge gourd	Sponge gourd	FAQ	07/08/2025	2500	3000	3000
Haryana	Mewat	Punhana	Tomato	Other	FAQ	07/08/2025	4000	5000	4500
Haryana	Mewat	Tauru	Brinjal	Other	FAQ	07/08/2025	1500	1500	1500
Haryana	Mewat	Tauru	Ginger(Green)	Other	FAQ	07/08/2025	10000	10000	10000
Haryana	Mewat	Tauru	Mousambi(Sweet Lime)	Other	Small	07/08/2025	2000	2000	2000
Haryana	Mewat	Tauru	Pumpkin	Other	FAQ	07/08/2025	1000	1000	1000
Haryana	Palwal	Hodal	Cabbage	Cabbage	FAQ	07/08/2025	1000	1500	1200
Haryana	Palwal	Hodal	Green Chilli	Green Chilly	FAQ	07/08/2025	3000	3500	3200
Haryana	Palwal	Hodal	Onion	Onion	FAQ	07/08/2025	1000	1200	1100
Haryana	Palwal	Hodal	Pumpkin	Pumpkin	FAQ	07/08/2025	700	900	800
